,universe_size,composite_coverage,value_quality_coverage
2018-10-31,429,0.9883449883449883,0.8881118881118881
2018-11-30,428,0.9883177570093458,0.8925233644859814
2018-12-31,430,0.9883720930232558,0.8953488372093024
2019-01-31,429,0.9883449883449883,0.8974358974358975
2019-02-28,429,0.9883449883449883,0.8974358974358975
2019-03-31,429,0.9883449883449883,0.8974358974358975
2019-04-30,429,0.9883449883449883,0.8997668997668997
2019-05-31,429,0.9883449883449883,0.9067599067599068
2019-06-30,429,0.9883449883449883,0.9090909090909091
2019-07-31,429,0.9883449883449883,0.9090909090909091
2019-08-31,429,0.9883449883449883,0.9114219114219114
2019-09-30,429,0.9883449883449883,0.9114219114219114
2019-10-31,429,0.9883449883449883,0.9114219114219114
2019-11-30,429,0.9883449883449883,0.9114219114219114
2019-12-31,429,0.9883449883449883,0.9114219114219114
2020-01-31,429,0.9883449883449883,0.9137529137529138
2020-02-29,429,0.9883449883449883,0.916083916083916
2020-03-31,429,0.993006993006993,0.916083916083916
2020-04-30,429,0.993006993006993,0.916083916083916
2020-05-31,429,0.993006993006993,0.9184149184149184
2020-06-30,429,0.993006993006993,0.9184149184149184
2020-07-31,429,0.993006993006993,0.9184149184149184
2020-08-31,429,0.993006993006993,0.9184149184149184
2020-09-30,429,0.993006993006993,0.9184149184149184
2020-10-31,429,0.993006993006993,0.9184149184149184
2020-11-30,429,0.993006993006993,0.9184149184149184
2020-12-31,429,0.993006993006993,0.9184149184149184
2021-01-31,429,0.993006993006993,0.9184149184149184
2021-02-28,429,0.993006993006993,0.9184149184149184
2021-03-31,429,0.993006993006993,0.9184149184149184
2021-04-30,429,0.993006993006993,0.9184149184149184
2021-05-31,429,0.993006993006993,0.9207459207459208
2021-06-30,429,0.993006993006993,0.9207459207459208
2021-07-31,429,0.993006993006993,0.9207459207459208
2021-08-31,429,0.993006993006993,0.9207459207459208
2021-09-30,429,0.993006993006993,0.9207459207459208
2021-10-31,429,0.993006993006993,0.9207459207459208
2021-11-30,429,0.993006993006993,0.9207459207459208
2021-12-31,429,0.993006993006993,0.9207459207459208
2022-01-31,429,0.993006993006993,0.9230769230769231
2022-02-28,429,0.993006993006993,0.9230769230769231
2022-03-31,429,0.993006993006993,0.9230769230769231
2022-04-30,429,0.993006993006993,0.9230769230769231
2022-05-31,429,0.993006993006993,0.9230769230769231
2022-06-30,429,0.993006993006993,0.9230769230769231
2022-07-31,429,0.993006993006993,0.9230769230769231
2022-08-31,429,0.993006993006993,0.9230769230769231
2022-09-30,429,0.993006993006993,0.9230769230769231
2022-10-31,429,0.993006993006993,0.9230769230769231
2022-11-30,429,0.993006993006993,0.9230769230769231
2022-12-31,429,0.993006993006993,0.9230769230769231
2023-01-31,429,0.993006993006993,0.9230769230769231
2023-02-28,429,0.993006993006993,0.9254079254079254
2023-03-31,429,0.993006993006993,0.9254079254079254
2023-04-30,429,0.993006993006993,0.9254079254079254
2023-05-31,429,0.9953379953379954,0.9254079254079254
2023-06-30,429,0.9953379953379954,0.9254079254079254
2023-07-31,429,0.9953379953379954,0.9254079254079254
2023-08-31,429,0.9953379953379954,0.9254079254079254
2023-09-30,429,0.9953379953379954,0.9254079254079254
2023-10-31,429,0.9953379953379954,0.9300699300699301
2023-11-30,429,0.9953379953379954,0.9300699300699301
2023-12-31,429,0.9953379953379954,0.9300699300699301
2024-01-31,429,0.9953379953379954,0.9300699300699301
2024-02-29,429,0.9953379953379954,0.9300699300699301
2024-03-31,429,0.9953379953379954,0.9324009324009324
2024-04-30,429,0.9953379953379954,0.9324009324009324
2024-05-31,429,0.9953379953379954,0.9347319347319347
2024-06-30,429,0.9953379953379954,0.9347319347319347
2024-07-31,429,0.9953379953379954,0.9347319347319347
2024-08-31,429,0.9953379953379954,0.9347319347319347
2024-09-30,429,0.9953379953379954,0.9347319347319347
2024-10-31,429,0.9953379953379954,0.9347319347319347
2024-11-30,429,0.9953379953379954,0.9370629370629371
2024-12-31,429,0.9953379953379954,0.9370629370629371
